id,type,query,expected_answer,key_terms
F01,factual,What type of programming language is Python?,"Python is a high-level, interpreted, dynamically typed programming language that supports multiple paradigms including procedural, object-oriented, and functional programming.","['high-level', 'interpreted', 'dynamically typed']"
F02,factual,What are mutable objects in Python?,"Mutable objects in Python are list, dict, and set. They can be changed after creation.","['list', 'dict', 'set', 'mutable']"
F03,factual,What are immutable types in Python?,"Immutable types in Python include int, float, str, tuple, and frozenset. They cannot be modified after creation.","['int', 'float', 'str', 'tuple', 'frozenset', 'immutable']"
F04,factual,What is the time complexity of dictionary lookup in Python?,Dictionary lookup in Python has an average time complexity of O(1) because dictionaries are implemented as hash tables.,"['O(1)', 'hash table', 'dictionary']"
F05,factual,What is the LEGB rule in Python?,"The LEGB rule defines the order of scope resolution in Python: Local, Enclosing, Global, Built-in.","['Local', 'Enclosing', 'Global', 'Built-in', 'scope']"
F06,factual,What is recursion in Python?,Recursion is a function calling itself. Example: factorial function where factorial(n) returns n * factorial(n-1) with base case n == 0 returning 1.,"['function calling itself', 'factorial', 'base case']"
F07,factual,What does MRO stand for in Python?,MRO stands for Method Resolution Order. It defines the order in which base classes are searched when looking for a method.,"['Method Resolution Order', 'base classes', 'searched']"
F08,factual,What are the four core OOP concepts in Python?,"The four core OOP concepts are Encapsulation, Inheritance, Polymorphism, and Abstraction.","['Encapsulation', 'Inheritance', 'Polymorphism', 'Abstraction']"
F09,factual,What is the Global Interpreter Lock in Python?,"The GIL (Global Interpreter Lock) is a mutex that prevents multiple threads from executing Python bytecode simultaneously, limiting true parallelism in CPython.","['GIL', 'mutex', 'threads', 'bytecode']"
F10,factual,What is a list comprehension in Python?,List comprehension is a concise way to create lists using a single line of code with an expression and optional conditions.,"['list', 'comprehension', 'concise']"
F11,factual,What is a generator in Python?,"A generator is a special function that uses yield to produce a sequence of values lazily, one at a time, without storing the entire sequence in memory.","['yield', 'lazy', 'memory']"
F12,factual,What is exception handling in Python?,"Exception handling in Python uses try-except blocks to catch and handle runtime errors gracefully, preventing program crashes.","['try', 'except', 'runtime errors']"
F13,factual,What is a decorator in Python?,"A decorator is a function that takes another function as input and extends its behavior without modifying its source code, using the @decorator syntax.","['decorator', 'function', 'extends', '@']"
F14,factual,What is a lambda function in Python?,"A lambda function is an anonymous, single-expression function defined using the lambda keyword.","['lambda', 'anonymous', 'single-expression']"
F15,factual,What are metaclasses in Python?,Metaclasses are classes of classes that define how classes behave. They are part of Python's advanced topics along with context managers and async programming.,"['metaclasses', 'classes of classes']"
F16,factual,What is the difference between shallow copy and deep copy?,"A shallow copy creates a new object but references the same nested objects, while a deep copy creates a completely independent copy of the object and all nested objects.","['shallow copy', 'deep copy', 'nested objects', 'independent']"
F17,factual,What is the difference between threading and multiprocessing in Python?,"Threading shares the same memory space and is limited by the GIL, while multiprocessing uses separate memory spaces and can achieve true parallelism.","['threading', 'multiprocessing', 'GIL', 'parallelism']"
F18,factual,What happens when you append to a list that is referenced by two variables?,"When you append to a list referenced by two variables (a = [1,2,3]; b = a; b.append(4)), both variables reflect the change because lists are mutable and both reference the same object. print(a) outputs [1, 2, 3, 4].","['mutable', 'same object', 'reference', 'append']"
F19,factual,What data structure are Python sets based on?,"Python sets are implemented using hash tables, similar to dictionaries but storing only keys.","['sets', 'hash']"
F20,factual,What is file handling in Python?,"File handling in Python allows reading from and writing to files using built-in functions like open(), read(), write(), and with-statement for automatic resource management.","['file', 'open', 'read', 'write']"
C01,conceptual,Why is Python called an interpreted language?,"Python is called interpreted because the source code is executed line-by-line by the Python interpreter at runtime, rather than being compiled to machine code beforehand. The code is first compiled to bytecode, then interpreted by the Python Virtual Machine.","['interpreted', 'runtime', 'bytecode']"
C02,conceptual,Why are strings immutable in Python?,"Strings are immutable in Python for memory efficiency (string interning), thread safety, and to allow them to be used as dictionary keys (hashable). Once created, their content cannot be changed.","['immutable', 'hashable', 'memory', 'thread safety']"
C03,conceptual,How does Python's memory management work?,Python uses automatic memory management with reference counting as the primary mechanism and a garbage collector for cyclic references. Objects are allocated on a private heap managed by the Python memory manager.,"['reference counting', 'garbage collector', 'heap', 'memory manager']"
C04,conceptual,Why does the GIL exist and what problem does it cause?,The GIL exists to protect Python's reference counting mechanism from race conditions in multi-threaded programs. It causes the problem of preventing true CPU parallelism with threads - only one thread can execute Python bytecode at a time.,"['GIL', 'reference counting', 'race conditions', 'parallelism']"
C05,conceptual,How does variable binding work in Python's memory model?,"In Python, variables are names (references) that point to objects in memory. Assignment binds a name to an object. Multiple names can reference the same object. The scope resolution follows the LEGB rule.","['names', 'references', 'objects', 'LEGB']"
C06,conceptual,Why should you use generators instead of lists for large datasets?,Generators are memory-efficient because they produce values lazily (one at a time using yield) instead of storing the entire sequence in memory. This is crucial for processing large datasets that don't fit in memory.,"['lazy', 'yield', 'memory-efficient', 'large datasets']"
C07,conceptual,How does hash collision resolution work in Python dictionaries?,"Python dictionaries use hash tables with open addressing for collision resolution. When two keys hash to the same index, Python probes for the next available slot using a perturbation scheme.","['hash', 'collision', 'open addressing', 'probing']"
C08,conceptual,Why is recursion limited in Python and what happens when the limit is exceeded?,"Python has a default recursion limit (usually 1000) to prevent stack overflow. When exceeded, Python raises a RecursionError. Each recursive call adds a frame to the call stack.","['recursion limit', 'stack overflow', 'RecursionError', 'call stack']"
